trial_uid,exp,env_id,seed,score,status,error,hostname,time_sec,params.policy_lr,params.q_lr,params.tau,params.gamma,params.batch_size,params.dihedral_N,params.reg_rep_N
05fc459a-fc5f-4fa9-bee3-2225c7060691,slide,FetchSlideDense-v4,1,-14.285368277045148,ok,,fc11011,9019.830955266953,0.000798407179662935,0.0011764758543197345,0.0008676325761765286,0.9650910093414646,256,16,128
666456c4-2e99-4d30-b599-ba22daa75e7d,slide,FetchSlideDense-v4,1,-15.866759630665829,ok,,fc11014,9324.927330255508,0.0013877945552610094,0.0010968480228150158,0.00148172104572399,0.9571249430267791,256,16,128
7110b749-bc3b-4cb1-aa08-8bccd9484413,pick,FetchPickAndPlaceDense-v4,2,-10.300437388811728,ok,,fc11015,5134.909236907959,0.001900101690248355,0.00042097073173998154,0.00851436590914243,0.9806551942993672,256,16,64
97f8273e-0b4b-4162-a7a0-42fdef051efc,slide,FetchSlideDense-v4,1,-11.620390633224707,ok,,fc11007,7943.789004325867,0.0005714628561465744,0.0020219841288666293,0.0011872547405781084,0.965571275976987,128,16,128
56de1cf7-7cca-4f10-a4ea-6bed2c8f9a8f,push,FetchPushDense-v4,1,-9.292608511903087,ok,,fc10915,5212.733389616013,0.0005160745015962094,0.001926024335759025,0.003272928960071969,0.9580082081958732,256,16,64
50c90114-3b59-4349-a400-186e8fce5aad,push,FetchPushDense-v4,2,-7.439390041667686,ok,,fc10919,4996.441951036453,0.00022440231912395207,0.0013793236583958726,0.004954705413216404,0.9449060590073793,128,16,64
baf89155-8c2a-4f2d-85a7-7092c3d0df65,pick,FetchPickAndPlaceDense-v4,2,-11.193551811109533,ok,,fc11019,5131.640847682953,0.0005016337421869678,0.000431787401275112,0.005621709799540404,0.9911861248388855,256,16,64
312cdcef-1094-41e9-9a7c-ee2946b5466c,slide,FetchSlideDense-v4,2,-17.846156339853742,ok,,fc11012,7950.849286556244,0.0008008855152786609,0.0013367524100421234,0.00392745880205104,0.9611951245047367,128,16,128
7241ed5e-b390-43cf-a313-58092070f2ee,pick,FetchPickAndPlaceDense-v4,2,-12.31371797291517,ok,,fc11018,5205.883082866669,0.0017918215062912742,0.0004015228851036998,0.004409584764715242,0.999,256,16,64
12ac7484-af2e-45dc-a047-43c6883db92c,pick,FetchPickAndPlaceDense-v4,2,-11.019894179484455,ok,,fc11018,4936.872023105621,0.0007334249617387171,0.0003943021839747376,0.0023204772738209586,0.999,128,16,64
26e09acd-f433-4d47-a5c2-995bde2c50c7,slide,FetchSlideDense-v4,2,-15.631291550992767,ok,,fc11014,9379.375218629837,0.0012743308954684207,0.0011455493166248536,0.0031533581453854188,0.9755601919783048,128,16,128
0b204ace-e462-4627-87e3-02d59ead3782,slide,FetchSlideDense-v4,1,-10.873752006191394,ok,,fc11009,7958.250328302383,0.0010854352460573245,0.003,0.0031894460206819478,0.9655301058889556,128,16,128
05d65fbb-7187-4551-a808-baac9cdd525d,push,FetchPushDense-v4,2,-5.743944412481144,ok,,fc11005,5249.487117290497,0.00038584680213396214,0.0017002604729129283,0.005306770893935603,0.9552508982874437,256,16,64
e02a1a3d-6154-431f-9abe-f8378b8fe9fe,push,FetchPushDense-v4,1,-7.770619933219504,ok,,fc11009,4987.342717885971,0.0003591683888419803,0.0008977065782045837,0.006734444262856965,0.9663785452312997,128,16,64
884c7817-8b9d-42f0-814c-3c1ed36331e4,push,FetchPushDense-v4,1,-8.872338255236157,ok,,fc10915,5229.892842531204,0.00026422617850180703,0.0006759653068468122,0.0028829421276800322,0.961268605485117,256,16,64
15215faf-910e-47ba-9f04-a4cd15deb58e,pick,FetchPickAndPlaceDense-v4,2,-9.154154725721305,ok,,fc11019,4996.085565805435,0.0008829447451287652,0.000486108389146294,0.011465010302669448,0.999,128,16,64
05a5ca51-4746-4b05-a345-a23796627aa6,push,FetchPushDense-v4,1,-8.382385547997925,ok,,fc11006,4996.4606029987335,0.0006030030804295561,0.0008225435578806159,0.0035311611562719647,0.9516358272162884,128,16,64
104268cb-9950-463b-93ac-b865502d1d16,push,FetchPushDense-v4,2,-8.356951344421635,ok,,fc10904,5027.445539712906,0.0005855486077923055,0.0009763694590740312,0.005590562684280951,0.9526860446494229,128,16,64
22f13899-ba80-4d8e-8a4a-0b843b3e054b,slide,FetchSlideDense-v4,2,-16.9798911488747,ok,,fc11013,7933.393132448196,0.0026137245641468408,0.0007679370093162809,0.001429738631438293,0.9818739187340125,128,16,128
3078fb14-ac12-438e-a27b-16a86ceae179,pick,FetchPickAndPlaceDense-v4,2,-11.220808895253503,ok,,fc11019,4985.056334018707,0.0006981398382020464,0.0004395032376797202,0.0027768276435778793,0.9960956911469533,128,16,64
b498cb01-3ba9-47de-87a2-e7d8de01418d,pick,FetchPickAndPlaceDense-v4,1,-11.83561010975433,ok,,fc10713,4996.8063089847565,0.0003364625331677948,0.00030242112513914165,0.003557656055261295,0.9911470199154817,128,16,64
48f1262b-fa7a-49ef-acbe-412716adfe43,slide,FetchSlideDense-v4,2,-9.816327718488141,ok,,fc11011,9045.3820540905,0.001232372382435594,0.0014229078672230579,0.002308670365941963,0.96419947786938,256,16,128
6dac156a-964e-4061-8fe5-733acf17ac8d,pick,FetchPickAndPlaceDense-v4,1,-12.229019497871537,ok,,fc11015,5098.1509301662445,0.00045387538426288276,0.00045431815607892577,0.01094314657405964,0.9860285646702882,256,16,64
2af4e63a-db77-42a3-98db-f00d898129bb,pick,FetchPickAndPlaceDense-v4,1,-10.35207572084354,ok,,fc11015,5168.754220485687,0.0012412399110771155,0.0004909180714498522,0.0037163164004174495,0.9923429953496925,256,16,64
88b496e0-562c-4dab-91af-2e5f8325f03a,push,FetchPushDense-v4,2,-5.956276010375839,ok,,fc11007,5201.737141370773,0.0009498754784656611,0.0014958939938408548,0.010548271359587042,0.9530650055683235,256,16,64
a1348e14-4340-4bea-b959-61bfa407e558,push,FetchPushDense-v4,1,-7.542866771339683,ok,,fc11005,5165.826667547226,0.00028479417265518566,0.0008079063022821538,0.003010127625107767,0.9470648881668317,256,16,64
15918b58-1ed1-4103-bb09-132b4ed00570,slide,FetchSlideDense-v4,1,-13.03009561903594,ok,,fc11011,9045.088500976562,0.00033262100298439015,0.0011053196967516325,0.0034749801257783755,0.9715022381071955,256,16,128
b6038961-6c8b-4a85-9c43-ee8f78290244,push,FetchPushDense-v4,1,-5.176554533075172,ok,,fc10912,5217.338932752609,0.00028613313857184155,0.0010850529438489894,0.005610778808914748,0.9659895936247803,256,16,64
787a2895-07b2-4490-892b-392caedb54b3,slide,FetchSlideDense-v4,1,-9.926207578590223,ok,,fc11008,9070.547810077667,0.0011102218935489666,0.002844895981607335,0.00652205015708066,0.9635387601319244,256,16,128
e07b6b8f-e32c-47af-accd-4160ea1d1ac3,push,FetchPushDense-v4,2,-4.059835106434531,ok,,fc11008,5291.0092968940735,0.0004317323726389281,0.0012859501105724727,0.0068583077472439335,0.9579607784404769,256,16,64
0b701146-50f6-4837-954c-ff28b7366d8a,pick,FetchPickAndPlaceDense-v4,1,-11.008259489420208,ok,,fc11019,4987.607778310776,0.0010209669283881304,0.00023014505833495735,0.008296241788279436,0.9782822616520802,128,16,64
0e7785bb-53ac-4392-8ac6-2f89228c2a02,push,FetchPushDense-v4,1,-8.580602388100058,ok,,fc11008,5257.71320939064,0.0003699104154976828,0.000962147323973732,0.005118290872341335,0.9455308267839306,256,16,64
510a100e-a548-4b9b-84c9-05c41974f819,pick,FetchPickAndPlaceDense-v4,1,-10.283089702681666,ok,,fc10917,4956.988957643509,0.0005957170944521567,0.0009868995315699272,0.0031337489642571225,0.992214101873324,128,16,64
